n,elapsed_time (ms)
0,0
1000,0
2000,1
3000,1
4000,2
5000,2
6000,3
7000,4
8000,4
9000,5
10000,5
11000,6
12000,7
13000,8
14000,8
15000,9
16000,9
17000,10
18000,11
19000,11
20000,12
21000,13
22000,14
23000,14
24000,15
25000,16
26000,16
27000,17
28000,18
29000,18
30000,19
31000,20
32000,21
33000,22
34000,22
35000,23
36000,23
37000,24
38000,25
39000,26
40000,26
41000,27
42000,28
43000,29
44000,29
45000,30
46000,31
47000,32
48000,32
49000,33
50000,34
51000,35
52000,35
53000,36
54000,37
55000,38
56000,38
57000,39
58000,40
59000,40
60000,41
61000,42
62000,43
63000,44
64000,45
65000,45
66000,46
67000,46
68000,47
69000,48
70000,49
71000,50
72000,51
73000,51
74000,52
75000,53
76000,54
77000,54
78000,55
79000,56
80000,57
81000,57
82000,58
83000,59
84000,59
85000,60
86000,61
87000,62
88000,63
89000,63
90000,64
91000,65
92000,66
93000,67
94000,67
95000,68
96000,69
97000,70
98000,71
99000,71
100000,72
101000,73
102000,74
103000,74
104000,75
105000,76
106000,77
107000,77
108000,78
109000,79
110000,80
111000,80
112000,81
113000,82
114000,82
115000,84
116000,84
117000,85
118000,86
119000,87
120000,87
121000,88
122000,89
123000,89
124000,90
125000,91
126000,92
127000,93
128000,93
129000,95
130000,95
131000,96
132000,96
133000,98
134000,98
135000,99
136000,100
137000,101
138000,102
139000,103
140000,103
141000,104
142000,105
143000,105
144000,106
145000,107
146000,108
147000,108
148000,108
149000,110
150000,111
151000,115
152000,116
153000,115
154000,117
155000,117
156000,118
157000,119
158000,120
159000,121
160000,121
161000,123
162000,123
163000,124
164000,125
165000,126
166000,127
167000,128
168000,130
169000,130
170000,130
171000,131
172000,132
173000,133
174000,133
175000,134
176000,135
177000,136
178000,137
179000,138
180000,139
181000,140
182000,140
183000,141
184000,142
185000,143
186000,145
187000,145
188000,146
189000,146
190000,147
191000,148
192000,149
193000,150
194000,150
195000,151
196000,152
197000,155
198000,154
199000,154
