n,elapsed_time (ms)
0,0
1000,0
2000,1
3000,2
4000,3
5000,3
6000,4
7000,5
8000,6
9000,7
10000,8
11000,9
12000,10
13000,11
14000,12
15000,13
16000,14
17000,15
18000,16
19000,17
20000,18
21000,19
22000,20
23000,21
24000,22
25000,23
26000,24
27000,26
28000,26
29000,27
30000,28
31000,29
32000,29
33000,32
34000,33
35000,34
36000,35
37000,36
38000,37
39000,38
40000,39
41000,40
42000,41
43000,42
44000,44
45000,45
46000,46
47000,47
48000,48
49000,49
50000,50
51000,51
52000,54
53000,54
54000,55
55000,56
56000,57
57000,58
58000,60
59000,60
60000,61
61000,62
62000,64
63000,65
64000,63
65000,67
66000,68
67000,70
68000,71
69000,72
70000,73
71000,74
72000,75
73000,77
74000,77
75000,79
76000,80
77000,81
78000,82
79000,83
80000,85
81000,86
82000,88
83000,88
84000,89
85000,90
86000,91
87000,93
88000,94
89000,95
90000,98
91000,98
92000,100
93000,101
94000,102
95000,102
96000,103
97000,105
98000,106
99000,107
100000,109
101000,110
102000,113
103000,113
104000,113
105000,115
106000,116
107000,117
108000,118
109000,120
110000,122
111000,123
112000,123
113000,124
114000,126
115000,127
116000,129
117000,130
118000,134
119000,132
120000,133
121000,135
122000,136
123000,138
124000,138
125000,143
126000,141
127000,142
128000,137
129000,145
130000,146
131000,152
132000,152
133000,151
134000,153
135000,157
136000,157
137000,157
138000,163
139000,161
140000,161
141000,161
142000,164
143000,165
144000,168
145000,168
146000,169
147000,176
148000,174
149000,176
150000,178
151000,177
152000,178
153000,180
154000,181
155000,185
156000,186
157000,186
158000,189
159000,189
160000,191
161000,193
162000,193
163000,194
164000,196
165000,201
166000,201
167000,202
168000,206
169000,207
170000,207
171000,208
172000,207
173000,209
174000,216
175000,215
176000,217
177000,217
178000,220
179000,219
180000,221
181000,223
182000,231
183000,229
184000,227
185000,229
186000,230
187000,233
188000,235
189000,266
190000,269
191000,246
192000,270
193000,281
194000,270
195000,275
196000,262
197000,291
198000,264
199000,263
